playerID,trialID,groupID,nplayers,condition,questions.per.block,initial.rating,initial.decision.time,social.rating,social.decision.time,final.rating,final.decision.time,orientation,know.anyone,remember.initial.ratings,use.social.info,experiment.intent
2,56,1,10,Hands,10,35,3813,38,1344,27,3109,2,No,59,Mostly_individual,Social_influence
2,57,1,10,Hands,10,34,5610,21,3484,11,4094,2,No,59,Mostly_individual,Social_influence
2,58,1,10,Hands,10,44,46860,3,13750,36,2907,2,No,59,Mostly_individual,Social_influence
2,59,1,10,Hands,10,51,4000,26,2141,50,3531,2,No,59,Mostly_individual,Social_influence
2,60,1,10,Hands,10,37,2500,70,1813,33,3547,2,No,59,Mostly_individual,Social_influence
3,61,1,10,Art,10,59,3734,70,3110,61,2250,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,62,1,10,Art,10,43,5500,50,2547,30,1953,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,63,1,10,Art,10,40,2921,44,2797,31,2703,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,64,1,10,Art,10,31,2844,18,2360,34,2390,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,65,1,10,Art,10,65,3219,94,3016,66,1907,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,66,1,10,Art,10,59,5391,80,3422,58,2078,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,67,1,10,Art,10,60,2954,71,2328,66,2313,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,68,1,10,Art,10,25,2844,91,3157,31,2125,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,69,1,10,Art,10,23,3672,47,2312,15,4250,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,70,1,10,Art,10,74,3812,75,3406,70,3250,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,71,1,10,Faces,10,27,3421,57,3094,24,3515,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,72,1,10,Faces,10,24,2718,2,1641,31,3156,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,73,1,10,Faces,10,32,4157,41,2656,40,3500,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,74,1,10,Faces,10,39,2890,25,2484,21,2265,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,75,1,10,Faces,10,54,6422,37,2750,52,3782,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,76,1,10,Faces,10,69,4890,39,4140,76,3187,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,77,1,10,Faces,10,43,7000,22,3938,37,2906,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,78,1,10,Faces,10,35,4375,0,2796,25,3171,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,79,1,10,Faces,10,31,4110,8,2984,35,2921,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,80,1,10,Faces,10,34,3391,9,3156,30,3922,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,81,1,10,Hands,10,43,3766,5,2687,37,1968,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,82,1,10,Hands,10,35,3078,37,2375,41,2984,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,83,1,10,Hands,10,58,8078,36,5859,36,7562,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,84,1,10,Hands,10,39,5937,52,2266,35,1829,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,85,1,10,Hands,10,18,2531,53,6765,53,4688,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,86,1,10,Hands,10,42,3562,37,2781,43,2516,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,87,1,10,Hands,10,31,3218,60,2609,45,1891,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
3,88,1,10,Hands,10,22,4750,52,4172,34,3297,0,Prefer_not_to_answer,50,Both_social_and_individual,Social_influence
